Time,JointType,TrackingState,Position.X,Position.Y,Position.Z,
00:00.1,ElbowLeft,Tracked,-0.273367316,0.037294757,1.238710403,0
00:00.1,ElbowRight,Tracked,0.106727511,-0.030607231,1.28910625,0.389387337
00:00.1,ElbowLeft,Tracked,-0.273221076,0.037401672,1.238597393,0.3892779
00:00.1,ElbowRight,Tracked,0.106781885,-0.030271729,1.289055347,0.389265905
00:00.1,ElbowLeft,Tracked,-0.273031056,0.03765611,1.238417268,0.389148142
00:00.1,ElbowRight,Tracked,0.106870338,-0.030043649,1.289012194,0.389189123
00:00.1,ElbowLeft,Tracked,-0.272928745,0.037903756,1.238282442,0.389149972
00:00.1,ElbowRight,Tracked,0.108180389,-0.028221393,1.289636254,0.390197285
00:00.2,ElbowLeft,Tracked,-0.272509515,0.038053907,1.238069057,0.389841499
00:00.2,ElbowRight,Tracked,0.108823657,-0.027141204,1.289950132,0.390329395
00:00.2,ElbowLeft,Tracked,-0.271931589,0.038453948,1.237644911,0.389888596
00:00.2,ElbowRight,Tracked,0.109187886,-0.026279353,1.290255785,0.390141459
00:00.2,ElbowLeft,Tracked,-0.271346629,0.038633391,1.237292409,0.389647662
00:00.2,ElbowRight,Tracked,0.109823234,-0.025275338,1.290449858,0.390128831
00:00.3,ElbowLeft,Tracked,-0.270923764,0.038778998,1.237029791,0.389775497
00:00.3,ElbowRight,Tracked,0.11016205,-0.024405807,1.290614486,0.389987225
00:00.3,ElbowLeft,Tracked,-0.270619333,0.038937829,1.236797571,0.389747531
00:00.3,ElbowRight,Tracked,0.111600153,-0.022537135,1.29110384,0.390922086
00:00.3,ElbowLeft,Tracked,-0.270207644,0.039098963,1.236531019,0.390582123
00:00.3,ElbowRight,Tracked,0.111679345,-0.022302773,1.291179895,0.390633262
00:00.4,ElbowLeft,Tracked,-0.270050853,0.03925737,1.236387968,0.390524969
00:00.4,ElbowRight,Tracked,0.112249613,-0.021563124,1.291425467,0.391001158
00:00.4,ElbowLeft,Tracked,-0.269792646,0.03927125,1.236377716,0.390752305
00:00.4,ElbowRight,Tracked,0.113033116,-0.020055955,1.291685581,0.391323704
00:00.4,ElbowLeft,Tracked,-0.269642502,0.039286308,1.236318469,0.391187487
